Time Series ID,Data Point Date,Value,Comp TS Value,Is Proxy,Proxy Comments,Approved By
7.2E+12,04/15/2008,3.11,,,,
7.2E+12,04/16/2008,3.105,,,,
7.2E+12,04/17/2008,3.095,,,,
7.2E+12,04/18/2008,3.105,,,,
7.2E+12,04/21/2008,3.11,,,,
7.2E+12,04/22/2008,3.11,,,,
7.2E+12,04/23/2008,3.105,,,,
7.2E+12,04/24/2008,3.105,,,,
7.2E+12,04/25/2008,3.105,,,,
7.2E+12,04/28/2008,3.09,,,,
7.2E+12,04/29/2008,3.105,,,,
7.2E+12,04/30/2008,2.965,,,,
7.2E+12,05/01/2008,2.195,,,,
7.2E+12,05/02/2008,2.225,,,,
7.2E+12,05/05/2008,2.27,,,,
7.2E+12,05/06/2008,2.235,,,,
7.2E+12,05/07/2008,1.51,,,,
7.2E+12,05/08/2008,2.135,,,,
7.2E+12,05/09/2008,2.195,,,,
7.2E+12,05/12/2008,2.26,,,,
7.2E+12,05/13/2008,2.29,,,,
7.2E+12,05/14/2008,2.24,,,,
7.2E+12,05/15/2008,2.21,,,,
7.2E+12,05/16/2008,2.17,,,,
7.2E+12,05/19/2008,2.3,,,,
7.2E+12,05/20/2008,2.295,,,,
7.2E+12,05/21/2008,2.285,,,,
7.2E+12,05/22/2008,2.28,,,,
7.2E+12,05/23/2008,2.265,,,,
7.2E+12,05/26/2008,2.29,,,,
7.2E+12,05/27/2008,2.295,,,,
7.2E+12,05/28/2008,2.2875,,,,
7.2E+12,05/29/2008,2.2875,,,,
7.2E+12,05/30/2008,2.2825,,,,
7.2E+12,06/02/2008,2.295,,,,
7.2E+12,06/03/2008,2.295,,,,
7.2E+12,06/04/2008,2.2925,,,,
7.2E+12,06/05/2008,2.2875,,,,
7.2E+12,06/06/2008,2.2925,,,,
7.2E+12,06/09/2008,2.2975,,,,
7.2E+12,06/10/2008,2.1925,,,,
7.2E+12,06/11/2008,2.2075,,,,
7.2E+12,06/12/2008,2.2875,,,,
7.2E+12,06/13/2008,2.2925,,,,
7.2E+12,06/16/2008,2.3025,,,,
7.2E+12,06/17/2008,2.2925,,,,
7.2E+12,06/18/2008,2.2925,,,,
7.2E+12,06/19/2008,2.2875,,,,
7.2E+12,06/20/2008,2.285,,,,
7.2E+12,06/23/2008,2.2875,,,,
7.2E+12,06/24/2008,2.2825,,,,
7.2E+12,06/25/2008,1.62,,,,
7.2E+12,06/26/2008,1.8025,,,,
7.2E+12,06/27/2008,1.5275,,,,
7.2E+12,06/30/2008,1.5575,,,,
7.2E+12,07/01/2008,1.405,,,,
7.2E+12,07/02/2008,1.2675,,,,
7.2E+12,07/03/2008,1.2475,,,,
7.2E+12,07/04/2008,1.045,,,,
7.2E+12,07/07/2008,2.1525,,,,
7.2E+12,07/08/2008,2.2025,,,,
7.2E+12,07/09/2008,2.155,,,,
7.2E+12,07/10/2008,2.23,,,,
7.2E+12,07/11/2008,2.2325,,,,
7.2E+12,07/14/2008,2.2675,,,,
7.2E+12,07/15/2008,2.2525,,,,
7.2E+12,07/16/2008,2.2375,,,,
7.2E+12,07/17/2008,2.2725,,,,
7.2E+12,07/18/2008,2.2425,,,,
7.2E+12,07/21/2008,2.2625,,,,
7.2E+12,07/22/2008,2.2325,,,,
7.2E+12,07/23/2008,2.2475,,,,
7.2E+12,07/24/2008,2.2425,,,,
7.2E+12,07/25/2008,2.2275,,,,
7.2E+12,07/28/2008,2.2575,,,,
7.2E+12,07/29/2008,2.2325,,,,
7.2E+12,07/30/2008,2.2325,,,,
7.2E+12,07/31/2008,2.2825,,,,
7.2E+12,08/01/2008,2.2725,,,,
7.2E+12,08/04/2008,2.2825,,,,
7.2E+12,08/05/2008,2.2775,,,,
7.2E+12,08/06/2008,2.1925,,,,
7.2E+12,08/07/2008,2.2,,,,
7.2E+12,08/08/2008,2.1975,,,,
7.2E+12,08/11/2008,2.1975,,,,
7.2E+12,08/12/2008,2.2525,,,,
7.2E+12,08/13/2008,2.2125,,,,
7.2E+12,08/14/2008,2.1975,,,,
7.2E+12,08/15/2008,2.1625,,,,
7.2E+12,08/18/2008,2.2275,,,,
7.2E+12,08/19/2008,2.2575,,,,
7.2E+12,08/20/2008,2.23,,,,
7.2E+12,08/21/2008,2.1975,,,,
7.2E+12,08/22/2008,2.1975,,,,
7.2E+12,08/25/2008,2.245,,,,
7.2E+12,08/26/2008,2.2025,,,,
7.2E+12,08/27/2008,2.225,,,,
7.2E+12,08/28/2008,2.195,,,,
7.2E+12,08/29/2008,2.225,,,,
7.2E+12,09/01/2008,2.21,,,,
7.2E+12,09/02/2008,2.235,,,,
7.2E+12,09/03/2008,2.235,,,,
7.2E+12,09/04/2008,2.215,,,,
7.2E+12,09/05/2008,2.2,,,,
7.2E+12,09/08/2008,2.17,,,,
7.2E+12,09/09/2008,2.185,,,,
7.2E+12,09/10/2008,2.265,,,,
7.2E+12,09/11/2008,2.21,,,,
7.2E+12,09/12/2008,2.24,,,,
7.2E+12,09/15/2008,2.175,,,,
7.2E+12,09/16/2008,2.25,,,,
7.2E+12,09/17/2008,2.205,,,,
7.2E+12,09/18/2008,2.205,,,,
7.2E+12,09/19/2008,2.19,,,,
7.2E+12,09/22/2008,2.0525,,,,
7.2E+12,09/23/2008,2.175,,,,
7.2E+12,09/24/2008,2.185,,,,
7.2E+12,09/25/2008,2.175,,,,
7.2E+12,09/26/2008,2.185,,,,
7.2E+12,09/29/2008,2.135,,,,
7.2E+12,09/30/2008,2.185,,,,
7.2E+12,10/01/2008,2.155,,,,
7.2E+12,10/02/2008,2.185,,,,
7.2E+12,10/03/2008,2.165,,,,
7.2E+12,10/06/2008,2.22,,,,
7.2E+12,10/07/2008,2.1575,,,,
7.2E+12,10/08/2008,2.155,,,,
7.2E+12,10/09/2008,2.15,,,,
7.2E+12,10/10/2008,2.1,,,,
7.2E+12,10/13/2008,1.9625,,,,
7.2E+12,10/14/2008,2.245,,,,
7.2E+12,10/15/2008,2.21,,,,
7.2E+12,10/16/2008,2.17,,,,
7.2E+12,10/17/2008,2.1675,,,,
7.2E+12,10/20/2008,2.185,,,,
7.2E+12,10/21/2008,2.1575,,,,
7.2E+12,10/22/2008,3.17,,,,
7.2E+12,10/23/2008,3.235,,,,
7.2E+12,10/24/2008,3.23,,,,
7.2E+12,10/27/2008,3.2,,,,
7.2E+12,10/28/2008,3.1075,,,,
7.2E+12,10/29/2008,3.2975,,,,
7.2E+12,10/30/2008,3.2675,,,,
7.2E+12,10/31/2008,3.2775,,,,
7.2E+12,11/03/2008,3.1525,,,,
7.2E+12,11/04/2008,3.0775,,,,
7.2E+12,11/05/2008,3.0775,,,,
7.2E+12,11/06/2008,3.01,,,,
7.2E+12,11/07/2008,2.91,,,,
7.2E+12,11/10/2008,2.87,,,,
7.2E+12,11/11/2008,3.24,,,,
7.2E+12,11/12/2008,3.03,,,,
7.2E+12,11/13/2008,3.2325,,,,
7.2E+12,11/14/2008,3.15,,,,
7.2E+12,11/17/2008,3.3125,,,,
7.2E+12,11/18/2008,3.36,,,,
7.2E+12,11/19/2008,3.2475,,,,
7.2E+12,11/20/2008,3.18,,,,
7.2E+12,11/21/2008,3.37,,,,
7.2E+12,11/24/2008,3.33,,,,
7.2E+12,11/25/2008,3.27,,,,
7.2E+12,11/26/2008,3.2225,,,,
7.2E+12,11/27/2008,2.9775,,,,
7.2E+12,11/28/2008,2.9425,,,,
7.2E+12,12/01/2008,2.925,,,,
7.2E+12,12/02/2008,2.935,,,,
7.2E+12,12/03/2008,2.92,,,,
7.2E+12,12/04/2008,2.9625,,,,
7.2E+12,12/05/2008,2.9225,,,,
7.2E+12,12/08/2008,2.95,,,,
7.2E+12,12/09/2008,2.935,,,,
7.2E+12,12/10/2008,2.9025,,,,
7.2E+12,12/11/2008,2.8725,,,,
7.2E+12,12/12/2008,3.015,,,,
7.2E+12,12/15/2008,2.96,,,,
7.2E+12,12/16/2008,3.0275,,,,
7.2E+12,12/17/2008,2.97,,,,
7.2E+12,12/18/2008,3.16,,,,
7.2E+12,12/19/2008,3.08,,,,
7.2E+12,12/22/2008,3.0625,,,,
7.2E+12,12/23/2008,3.005,,,,
7.2E+12,12/24/2008,2.985,,,,
7.2E+12,12/25/2008,2.99,,,,
7.2E+12,12/26/2008,2.9225,,,,
7.2E+12,12/29/2008,3.1725,,,,
7.2E+12,12/30/2008,2.79,,,,
7.2E+12,12/31/2008,2.735,,,,
7.2E+12,01/01/2009,2.725,,,,
7.2E+12,01/02/2009,2.735,,,,
7.2E+12,01/05/2009,2.745,,,,
7.2E+12,01/06/2009,2.7675,,,,
7.2E+12,01/07/2009,2.7625,,,,
7.2E+12,01/08/2009,2.7225,,,,
7.2E+12,01/09/2009,2.9,,,,
7.2E+12,01/12/2009,2.825,,,,
7.2E+12,01/13/2009,2.675,,,,
7.2E+12,01/14/2009,2.8475,,,,
7.2E+12,01/15/2009,2.795,,,,
7.2E+12,01/16/2009,2.92,,,,
7.2E+12,01/19/2009,2.8675,,,,
7.2E+12,01/20/2009,2.765,,,,
7.2E+12,01/21/2009,2.81,,,,
7.2E+12,01/22/2009,2.7675,,,,
7.2E+12,01/23/2009,3.0475,,,,
7.2E+12,01/26/2009,2.84,,,,
7.2E+12,01/27/2009,2.8675,,,,
